,Other disease,Other trait,Other measurement,Biological process,Immune system disorder,Cardiovascular disease,Neurological disorder,Digestive system disorder,Response to drug,Cardiovascular measurement,Metabolic disorder,Cancer,NR,Inflammatory measurement,Liver enzyme measurement,Lipid or lipoprotein measurement,Hematological measurement,Body measurement,Year
Asian,0.0,0.0,618.0,0.0,0.0,0.0,1191.0,3443.0,16.0,0.0,0.0,1093.0,0.0,0.0,0.0,3690.0,0.0,3302.0,2008
European,7792.0,52667.0,390102.0,11753.0,69510.0,20332.0,78938.0,45436.0,915.0,5396.0,19486.0,135218.0,3107.0,9086.0,9235.0,214383.0,21729.0,266507.0,2008
African,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008
African American or Afro-Caribbean,0.0,0.0,1160.0,0.0,0.0,0.0,462.0,0.0,285.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2320.0,2008
Hispanic or Latin American,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2008
Other/Mixed,0.0,0.0,2346.0,0.0,0.0,0.0,3160.0,0.0,113.0,868.0,0.0,4448.0,0.0,0.0,0.0,3155.0,0.0,0.0,2008
Asian,1065.0,1557.0,35424.0,0.0,5833.0,1306.0,2842.0,2804.0,5.0,8842.0,3509.0,5069.0,618.0,0.0,0.0,900.0,9685.0,26526.0,2009
European,67804.0,32799.0,427596.0,13348.0,85923.0,150821.0,127141.0,48122.0,8633.0,107325.0,54601.0,194074.0,8706.0,8299.0,1029.0,25357.0,230927.0,68655.0,2009
African,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2040.0,53.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,848.0,0.0,2009
African American or Afro-Caribbean,1864.0,0.0,0.0,2.0,0.0,1017.0,3295.0,191.0,657.0,0.0,0.0,0.0,1265.0,0.0,0.0,0.0,0.0,0.0,2009
Hispanic or Latin American,1476.0,458.0,1934.0,229.0,0.0,0.0,0.0,75.0,183.0,229.0,229.0,0.0,0.0,229.0,229.0,229.0,0.0,229.0,2009
Other/Mixed,0.0,0.0,12370.0,0.0,322.0,0.0,6238.0,0.0,1834.0,1262.0,0.0,78.0,0.0,20873.0,0.0,3263.0,0.0,2906.0,2009
Asian,13796.0,2651.0,66075.0,95.0,13163.0,5092.0,3108.0,14713.0,3204.0,20945.0,11422.0,35206.0,762.0,24789.0,14402.0,25949.0,107186.0,24485.0,2010
