,Broader,N,PUBMEDID,AUTHOR,parentterm,STAGE,DATE,ACCESSION,DiseaseOrTrait
4802,European,146.0,15761122.0,Klein RJ,Neurological disorder,initial,2005-03-10,GCST000001,Age-related macular degeneration
1575,Asian,1.0,16252231.0,Maraganore DM,Neurological disorder,replication,2005-09-09,GCST000002,Parkinson's disease
5487,European,541.0,16252231.0,Maraganore DM,Neurological disorder,replication,2005-09-09,GCST000002,Parkinson's disease
5778,European,744.0,16252231.0,Maraganore DM,Neurological disorder,initial,2005-09-09,GCST000002,Parkinson's disease
13768,Other/Mixed,141.0,16252231.0,Maraganore DM,Neurological disorder,initial,2005-09-09,GCST000002,Parkinson's disease
1574,Asian,1.0,16252231.0,Maraganore DM,Neurological disorder,initial,2005-09-09,GCST000002,Parkinson's disease
13761,Other/Mixed,122.0,16252231.0,Maraganore DM,Neurological disorder,replication,2005-09-09,GCST000002,Parkinson's disease
797,African American or Afro-Caribbean,866.0,16614226.0,Herbert A,"Other measurement, Metabolic disorder",replication,2006-04-14,GCST000003,Obesity
9798,European,10527.0,16614226.0,Herbert A,"Other measurement, Metabolic disorder",replication,2006-04-14,GCST000003,Obesity
8508,European,4851.0,16648850.0,Arking DE,Cardiovascular measurement,replication,2006-04-30,GCST000004,QT interval
4898,European,200.0,16648850.0,Arking DE,Cardiovascular measurement,initial,2006-04-30,GCST000004,QT interval
5482,European,537.0,17052657.0,Fung HC,Neurological disorder,initial,2006-09-28,GCST000005,Parkinson's disease
1898,Asian,226.0,17053108.0,Dewan A,Neurological disorder,initial,2006-10-19,GCST000006,Age-related macular degeneration (wet)
5105,European,341.0,17053149.0,Papassotiropoulos A,Other measurement,initial,2006-10-20,GCST000007,Memory performance
13666,Other/Mixed,18.0,17053149.0,Papassotiropoulos A,Other measurement,replication,2006-10-20,GCST000007,Memory performance
5661,European,662.0,17053149.0,Papassotiropoulos A,Other measurement,replication,2006-10-20,GCST000007,Memory performance
14128,Other/Mixed,1584.0,17068223.0,Duerr RH,"Digestive system disorder, Immune system disorder",replication,2006-10-26,GCST000008,Inflammatory bowel disease
6286,European,1095.0,17068223.0,Duerr RH,"Digestive system disorder, Immune system disorder",initial,2006-10-26,GCST000008,Inflammatory bowel disease
5767,European,740.0,17099884.0,Liu QR,Neurological disorder,initial,2006-12-05,GCST000009,Addiction
809,African American or Afro-Caribbean,920.0,17099884.0,Liu QR,Neurological disorder,initial,2006-12-05,GCST000009,Addiction
6071,European,948.0,17158188.0,Bierut LJ,Neurological disorder,initial,2006-12-07,GCST000010,Nicotine dependence
6130,European,981.0,17158188.0,Bierut LJ,Neurological disorder,replication,2006-12-07,GCST000010,Nicotine dependence
5603,European,621.0,17223258.0,Spinola M,Cancer,replication,2007-01-16,GCST000011,Lung cancer
5683,European,673.0,17223258.0,Spinola M,Cancer,initial,2007-01-16,GCST000011,Lung cancer
8768,European,5511.0,17293876.0,Sladek R,Metabolic disorder,replication,2007-02-11,GCST000012,Type 2 diabetes
6466,European,1275.0,17293876.0,Sladek R,Metabolic disorder,initial,2007-02-11,GCST000012,Type 2 diabetes
5494,European,547.0,17362836.0,Schymick JC,Neurological disorder,initial,2007-02-20,GCST000013,Amyotrophic lateral sclerosis
6627,European,1475.0,17447842.0,Libioulle C,Digestive system disorder,initial,2007-03-05,GCST000014,Crohn's disease
7775,European,3109.0,17447842.0,Libioulle C,Digestive system disorder,replication,2007-03-05,GCST000014,Crohn's disease
5616,European,632.0,17357082.0,Melquist S,Neurological disorder,initial,2007-03-08,GCST000015,Progressive supranuclear palsy
5578,European,604.0,17357082.0,Melquist S,Neurological disorder,replication,2007-03-08,GCST000015,Progressive supranuclear palsy
5074,European,322.0,17522711.0,Lencz T,Neurological disorder,initial,2007-03-20,GCST000016,Schizophrenia
7327,European,2329.0,17401363.0,Yeager M,Cancer,initial,2007-04-01,GCST000017,Prostate cancer
8086,European,3655.0,17401366.0,Gudmundsson J,Cancer,replication,2007-04-01,GCST000019,Prostate cancer
13816,Other/Mixed,207.0,17395743.0,Hanson RL,Other disease,initial,2007-04-01,GCST000020,End-stage renal disease
6272,European,1086.0,17474819.0,Coon KD,Neurological disorder,initial,2007-04-01,GCST000018,Alzheimer's disease (late onset)
765,African American or Afro-Caribbean,745.0,17401366.0,Gudmundsson J,Cancer,replication,2007-04-01,GCST000019,Prostate cancer
8947,European,6266.0,17401363.0,Yeager M,Cancer,replication,2007-04-01,GCST000017,Prostate cancer
8392,European,4517.0,17401366.0,Gudmundsson J,Cancer,initial,2007-04-01,GCST000019,Prostate cancer
5305,European,454.0,17407593.0,Uhl GR,Neurological disorder,initial,2007-04-03,GCST000021,Nicotine dependence
10845,European,29596.0,17434869.0,Frayling TM,"Body measurement, Other measurement",replication,2007-04-12,GCST000022,Body mass index
9824,European,10657.0,17434869.0,Frayling TM,"Body measurement, Other measurement",initial,2007-04-12,GCST000022,Body mass index
9535,European,8686.0,17460697.0,Steinthorsdottir V,Metabolic disorder,initial,2007-04-26,GCST000027,Type 2 diabetes
8672,European,5217.0,17463246.0,Saxena R,Lipid or lipoprotein measurement,replication,2007-04-26,GCST000026,Triglycerides
8511,European,4862.0,17463249.0,Zeggini E,Metabolic disorder,initial,2007-04-26,GCST000025,Type 2 diabetes
9651,European,9461.0,17460697.0,Steinthorsdottir V,Metabolic disorder,replication,2007-04-26,GCST000027,Type 2 diabetes
9854,European,10850.0,17463246.0,Saxena R,Metabolic disorder,replication,2007-04-26,GCST000028,Type 2 diabetes
7698,European,2931.0,17463246.0,Saxena R,Metabolic disorder,initial,2007-04-26,GCST000028,Type 2 diabetes
7536,European,2623.0,17463246.0,Saxena R,Lipid or lipoprotein measurement,initial,2007-04-26,GCST004919,HDL cholesterol levels
7554,European,2659.0,17463246.0,Saxena R,Lipid or lipoprotein measurement,initial,2007-04-26,GCST000026,Triglycerides
7332,European,2335.0,17463248.0,Scott LJ,Metabolic disorder,initial,2007-04-26,GCST000024,Type 2 diabetes
7520,European,2601.0,17463246.0,Saxena R,Lipid or lipoprotein measurement,initial,2007-04-26,GCST004920,LDL cholesterol levels
9590,European,9103.0,17463249.0,Zeggini E,Metabolic disorder,replication,2007-04-26,GCST000025,Type 2 diabetes
7418,European,2473.0,17463248.0,Scott LJ,Metabolic disorder,replication,2007-04-26,GCST000024,Type 2 diabetes
6608,European,1451.0,17463246.0,Saxena R,Lipid or lipoprotein measurement,initial,2007-04-26,GCST004921,Apolipoprotein A1 levels
5106,European,341.0,17470457.0,Huentelman MJ,Biological process,initial,2007-04-30,GCST000029,Episodic memory
5334,European,472.0,17470457.0,Huentelman MJ,Biological process,replication,2007-04-30,GCST000029,Episodic memory
9614,European,9289.0,17478679.0,Helgadottir A,Cardiovascular disease,replication,2007-05-03,GCST000030,Myocardial infarction
10677,European,23791.0,17478681.0,McPherson R,Cardiovascular disease,replication,2007-05-03,GCST000031,Coronary heart disease
9396,European,8335.0,17478679.0,Helgadottir A,Cardiovascular disease,initial,2007-05-03,GCST000030,Myocardial infarction
5620,European,634.0,17478681.0,McPherson R,Cardiovascular disease,initial,2007-05-03,GCST000031,Coronary heart disease
5446,European,517.0,17434096.0,Matarin M,Cardiovascular disease,initial,2007-05-06,GCST000032,Stroke
6783,European,1648.0,17486107.0,Baum AE,Neurological disorder,replication,2007-05-08,GCST000033,Bipolar disorder
6214,European,1024.0,17486107.0,Baum AE,Neurological disorder,initial,2007-05-08,GCST000033,Bipolar disorder
4907,European,204.0,17505501.0,Kindmark A,"Liver enzyme measurement, Response to drug",initial,2007-05-15,GCST000034,Response to ximelagatran treatment (increased serum alanine aminotransferase levels)
4641,European,26.0,17505501.0,Kindmark A,"Liver enzyme measurement, Response to drug",replication,2007-05-15,GCST000034,Response to ximelagatran treatment (increased serum alanine aminotransferase levels)
7290,European,2287.0,17529973.0,Hunter DJ,Cancer,initial,2007-05-27,GCST000036,Breast cancer
11253,European,48565.0,17529967.0,Easton DF,Cancer,replication,2007-05-27,GCST000035,Breast cancer
7339,European,2352.0,17529973.0,Hunter DJ,Cancer,replication,2007-05-27,GCST000036,Breast cancer
14057,Other/Mixed,896.0,17529973.0,Hunter DJ,Cancer,replication,2007-05-27,GCST000036,Breast cancer
2557,Asian,1126.0,17529974.0,Stacey SN,Cancer,replication,2007-05-27,GCST000037,Breast cancer
798,African American or Afro-Caribbean,870.0,17529974.0,Stacey SN,Cancer,replication,2007-05-27,GCST000037,Breast cancer
12990,Hispanic or Latin American,840.0,17529974.0,Stacey SN,Cancer,replication,2007-05-27,GCST000037,Breast cancer
9568,European,8921.0,17529974.0,Stacey SN,Cancer,replication,2007-05-27,GCST000037,Breast cancer
5796,European,754.0,17529967.0,Easton DF,Cancer,initial,2007-05-27,GCST000035,Breast cancer
10039,European,13145.0,17529974.0,Stacey SN,Cancer,initial,2007-05-27,GCST000037,Breast cancer
3939,Asian,7928.0,17529967.0,Easton DF,Cancer,replication,2007-05-27,GCST000035,Breast cancer
13915,Other/Mixed,441.0,17529974.0,Stacey SN,Cancer,replication,2007-05-27,GCST000037,Breast cancer
7816,European,3206.0,17554261.0,Parkes M,Digestive system disorder,replication,2007-06-06,GCST000039,Crohn's disease
10397,European,17991.0,17554260.0,Todd JA,Metabolic disorder,replication,2007-06-06,GCST000038,Type 1 diabetes
8592,European,5000.0,17554260.0,Todd JA,Metabolic disorder,initial,2007-06-06,GCST000038,Type 1 diabetes
8489,European,4806.0,17554300.0,Wellcome Trust Case Control Consortium,Neurological disorder,initial,2007-06-07,GCST000044,Bipolar disorder
8450,European,4686.0,17554300.0,Wellcome Trust Case Control Consortium,Digestive system disorder,initial,2007-06-07,GCST000042,Crohn's disease
8512,European,4862.0,17554300.0,Wellcome Trust Case Control Consortium,Metabolic disorder,initial,2007-06-07,GCST000047,Type 2 diabetes
8525,European,4890.0,17554300.0,Wellcome Trust Case Control Consortium,Cardiovascular disease,initial,2007-06-07,GCST000041,Hypertension
8486,European,4798.0,17554300.0,Wellcome Trust Case Control Consortium,Immune system disorder,initial,2007-06-07,GCST000040,Rheumatoid arthritis
8528,European,4901.0,17554300.0,Wellcome Trust Case Control Consortium,Metabolic disorder,initial,2007-06-07,GCST000043,Type 1 diabetes
8514,European,4864.0,17554300.0,Wellcome Trust Case Control Consortium,Cardiovascular disease,initial,2007-06-07,GCST000045,Coronary heart disease
7237,European,2200.0,17558408.0,van Heel DA,Immune system disorder,initial,2007-06-10,GCST000048,Celiac disease
7424,European,2480.0,17558408.0,van Heel DA,Immune system disorder,replication,2007-06-10,GCST000048,Celiac disease
