DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	PLATFORM [SNPS PASSING QC]	ASSOCIATION COUNT	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2008-11-12	18823527	Abraham R	2008-09-29	BMC Med Genomics	www.ncbi.nlm.nih.gov/pubmed/18823527	A genome-wide association study for late-onset Alzheimer's disease using DNA pooling.	Alzheimer's disease	1,082 European ancestry cases, 1,239 European ancestry controls	1,400 controls	Illumina [561494]	2	Alzheimer's disease	http://www.ebi.ac.uk/efo/EFO_0000249	GCST000237	Genome-wide genotyping array
2008-11-11	18840781	Grant SF	2008-10-07	Diabetes	www.ncbi.nlm.nih.gov/pubmed/18840781	Follow-up analysis of genome-wide association data identifies novel loci for type 1 diabetes.	Type 1 diabetes	563 European ancestry cases, 1,146 European ancestry controls, 483 European ancestry trios	3,303 European ancestry cases, 4,673 European ancestry controls	Illumina [up to 1000000]	5	type I diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001359	GCST000244	Genome-wide genotyping array
2008-06-16	17463249	Zeggini E	2007-04-26	Science	www.ncbi.nlm.nih.gov/pubmed/17463249	Replication of genome-wide association signals in UK samples reveals risk loci for type 2 diabetes.	Type 2 diabetes	1,924 European ancestry cases, 2,938 European ancestry controls	3,757 European ancestry cases, 5,346 European ancestry controls	Affymetrix [393453]	10	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST000025	Genome-wide genotyping array
2009-09-24	19714249	Liu YZ	2009-08-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19714249	Powerful bivariate genome-wide association analyses suggest the SOX6 gene influencing both obesity and osteoporosis phenotypes in males.	Obesity and osteoporosis	499 European ancestry male individuals, 501 European ancestry female individuals	1,370 European ancestry male individuals and 1,985 European ancestry female individuals from 975 families	Affymetrix [379319]	2	obesity, osteoporosis	http://www.ebi.ac.uk/efo/EFO_0001073, http://www.ebi.ac.uk/efo/EFO_0003882	GCST000469	Genome-wide genotyping array
2009-04-02	19304780	Org E	2009-03-20	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/19304780	Genome-wide scan identifies CDH13 as a novel susceptibility locus contributing to blood pressure determination in two European populations.	Hypertension	364 European ancestry cases, 590 European ancestry controls	1,043 European ancestry cases, 1,769 European ancestry controls	Affymetrix [395912]	1	hypertension	http://www.ebi.ac.uk/efo/EFO_0000537	GCST000361	Genome-wide genotyping array
2009-01-14	19074352	Pollin TI	2008-12-17	Science	www.ncbi.nlm.nih.gov/pubmed/19074352	A null mutation in human APOC3 confers a favorable plasma lipid profile and apparent cardioprotection.	Triglycerides	809 Old Order Amish individuals	698 Old Order Amish individuals	Affymetrix [381934]	1	triglyceride measurement	http://www.ebi.ac.uk/efo/EFO_0004530	GCST000300	Genome-wide genotyping array
2008-06-16	17554260	Todd JA	2007-06-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17554260	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	Type 1 diabetes	2,000 European ancestry cases, 3,000 European ancestry controls	2,997 European ancestry trios, 4,000 European ancestry cases, 5,000 European ancestry controls	Affymetrix [NR]	12	type I diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001359	GCST000038	Genome-wide genotyping array
2008-06-16	17554261	Parkes M	2007-06-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17554261	Sequence variants in the autophagy gene IRGM and multiple other replicating loci contribute to Crohn's disease susceptibility.	Crohn's disease	1,748 cases, 2,938 controls	1,182 European ancestry cases, 2,024 European ancestry controls	Affymetrix [see WTCCC]	9	Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0000384	GCST000039	Genome-wide genotyping array
2008-06-16	17553421	Reiman EM	2007-06-07	Neuron	www.ncbi.nlm.nih.gov/pubmed/17553421	GAB2 alleles modify Alzheimer's risk in APOE epsilon4 carriers.	Alzheimer's disease (late onset)	446 cases, 290 controls	415 cases, 260 controls	Affymetrix [312316]	1	Alzheimer's disease	http://www.ebi.ac.uk/efo/EFO_0000249	GCST000046	Genome-wide genotyping array
2008-06-16	17637780	Winkelmann J	2007-07-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17637780	Genome-wide association study of restless legs syndrome identifies common variants in three genomic regions.	Restless legs syndrome	401 European ancestry cases, 1,644 European ancestry controls	906 European ancestry cases, 891 European ancestry controls, 255 French Canadian cases, 287 French Canadian controls	Affymetrix [236758]	3	restless legs syndrome	http://www.ebi.ac.uk/efo/EFO_0004270	GCST000056	Genome-wide genotyping array
