STUDY ACCESSION,Cleaned_Ancestry,Cleaned_Ancestry_Size
GCST008595,European,77096
GCST008595,European,43456
GCST008642,European,321
GCST008673,Finnish,19292
GCST008708,Quechua,166
GCST008708,Quechua,146
GCST008596,European,2032
GCST008596,African American,1445
GCST008757,European,480842
GCST008490,European,146660
GCST008490,African American,19983
GCST008487,Japanese,6264
GCST008477,European,4427
GCST008477,African American,1158
GCST008668,African,64
GCST008668,African,227
GCST008755,European,1534
GCST008672,British,22204
GCST008672,British,149312
GCST008645,Han Chinese,521
GCST008645,Han Chinese,1026
GCST008645,Han Chinese,1749
GCST008645,Han Chinese,2859
GCST008746,European,70762
GCST008746,African American,20967
GCST008747,European,70762
GCST008747,European,152624
GCST008747,African American,20967
GCST008747,African American,36369
GCST008745,European,152624
GCST008745,African American,36369
GCST008488,Peruvian,2160
GCST008488,Peruvian,1820
GCST008736,European,1254
GCST008735,European,1254
GCST008743,British,163984
GCST008744,British,325153
GCST008742,British,161168
GCST008754,European,4775
GCST008754,European,60148
GCST008751,European,84689
GCST008752,European,7888
GCST008752,European,60148
GCST008753,European,1139
GCST008753,European,60148
GCST008749,African,815
GCST008750,African,815
GCST008748,European,154
GCST008748,African American,156
GCST008519,Hispanic/Latin American,1047
GCST008519,Cape Verdian,684
GCST008519,African American,373
GCST008484,European,5628
GCST008518,Cuban,762
GCST008465,European,16992
GCST008465,European,55525
GCST008497,European,545
GCST008547,European,18567
GCST008756,European,866
GCST008756,European,17
GCST008548,European,19431
GCST008460,Japanese,945
GCST008460,Japanese,1003
GCST008475,European,13382
GCST008475,African,3284
GCST008475,Hispanic,998
GCST008474,European,24009
GCST008474,European,150983
GCST008474,African,5373
GCST008474,African,42485
GCST008474,Hispanic,1925
GCST008474,Hispanic,18285
GCST008269,European,504
GCST008269,Asian,73
GCST008269,Native American,18
GCST008269,African American,5
GCST008597,Japanese,12603
GCST008268,European,504
GCST008268,Asian,73
GCST008268,Native American,18
GCST008268,African American,5
GCST008461,European,510
GCST008462,European,510
GCST008448,Han Chinese,103
GCST008448,Han Chinese,115
GCST008463,Sub Saharan African,2342
GCST008463,Sub Saharan African,2889
GCST008476,European,4427
GCST008476,African American,1158
GCST008464,Sub Saharan African,2342
GCST008464,Sub Saharan African,2889
GCST008464,African American,8599
GCST008478,European,750
GCST008516,Hispanic/Latin American,1047
GCST008516,Cape Verdian,684
GCST008516,African American,373
GCST008598,European,11262
GCST008598,European,25483
GCST008599,European,3484
GCST008599,European,25483
GCST008600,European,11262
GCST008600,East Asian,2178
GCST008600,African American,177
GCST008600,European,25483
GCST008600,East Asian,2299
GCST008600,African American,211
GCST008601,European,3484
GCST008601,East Asian,2178
GCST008601,European,25483
GCST008601,East Asian,2299
GCST008646,Chinese,3771
GCST008646,Chinese,5426
GCST008758,European,1398
GCST008758,Black,572
GCST008758,Hispanic,418
GCST008758,Asian,13
GCST008181,Finnish,101
GCST008181,Finnish,419
GCST008180,Finnish,133
GCST008180,Finnish,419
GCST008179,Finnish,75
GCST008179,Finnish,419
GCST008178,Finnish,172
GCST008178,Finnish,419
GCST008177,Finnish,247
GCST008177,Finnish,419
GCST008512,British,387649
GCST008388,Hispanic,136
GCST008388,European,75
GCST008388,African,102
GCST008388,Hispanic,265
GCST008388,European,282
GCST008388,African,194
GCST008511,British,6815
