	STUDY ACCESSION	DISEASE/TRAIT	Disease trait	Parent term
0	GCST008129	Body mass index	Body mass index	Body measurement
1	GCST008129	Body mass index	Body mass index	Body measurement
2	GCST008129	Body mass index	Body mass index	Other measurement
3	GCST008128	Body mass index	Body mass index	Body measurement
4	GCST008128	Body mass index	Body mass index	Body measurement
5	GCST008128	Body mass index	Body mass index	Other measurement
6	GCST008124	Body mass index	Body mass index	Body measurement
7	GCST008124	Body mass index	Body mass index	Body measurement
8	GCST008124	Body mass index	Body mass index	Other measurement
9	GCST008126	Body mass index	Body mass index	Body measurement
10	GCST008126	Body mass index	Body mass index	Body measurement
11	GCST008126	Body mass index	Body mass index	Other measurement
12	GCST008127	Body mass index	Body mass index	Body measurement
13	GCST008127	Body mass index	Body mass index	Body measurement
14	GCST008127	Body mass index	Body mass index	Other measurement
15	GCST008125	Body mass index	Body mass index	Body measurement
16	GCST008125	Body mass index	Body mass index	Body measurement
17	GCST008125	Body mass index	Body mass index	Other measurement
18	GCST007992	Colorectal cancer	Colorectal cancer	Cancer
19	GCST008604	Urine specific gravity measurement	Urine specific gravity measurement	Other measurement
20	GCST008605	Glucosuria (moderate to severe)	Glucosuria (moderate to severe)	Other trait
21	GCST008606	Glucosuria (mild)	Glucosuria (mild)	Other trait
22	GCST008607	Ketonuria	Ketonuria	Other trait
23	GCST008608	Ketonuria (moderate to severe)	Ketonuria (moderate to severe)	Other trait
24	GCST008609	Ketonuria (mild)	Ketonuria (mild)	Other trait
25	GCST008610	Proteinuria	Proteinuria	Other trait
26	GCST008611	Proteinuria (moderate to severe)	Proteinuria (moderate to severe)	Other trait
27	GCST008612	Proteinuria (mild)	Proteinuria (mild)	Other trait
28	GCST008613	Hematuria	Hematuria	Other trait
29	GCST008617	Hematuria (moderate to severe)	Hematuria (moderate to severe)	Other trait
30	GCST008618	Hematuria (mild)	Hematuria (mild)	Other trait
31	GCST008616	Urine pH measurement	Urine pH measurement	Other measurement
32	GCST008615	Low urine pH	Low urine pH	Other measurement
33	GCST008619	Signs of urinary tract infection (nitrites and leukocyte esterase)	Signs of urinary tract infection (nitrites and leukocyte esterase)	Other measurement
34	GCST008619	Signs of urinary tract infection (nitrites and leukocyte esterase)	Signs of urinary tract infection (nitrites and leukocyte esterase)	Other measurement
35	GCST008614	Glucosuria	Glucosuria	Other trait
36	GCST008464	Type 2 diabetes	Type 2 diabetes	Metabolic disorder
37	GCST008463	Type 2 diabetes	Type 2 diabetes	Metabolic disorder
38	GCST003129	Primary biliary cholangitis	Primary biliary cholangitis	Cancer
39	GCST003129	Primary biliary cholangitis	Primary biliary cholangitis	Cancer
40	GCST008173	Alanine aminotransferase levels	Alanine aminotransferase levels	Liver enzyme measurement
41	GCST008175	Gamma glutamyl transferase levels	Gamma glutamyl transferase levels	Liver enzyme measurement
42	GCST008174	Aspartate aminotransferase levels	Aspartate aminotransferase levels	Liver enzyme measurement
43	GCST007857	Fasting blood insulin adjusted for BMI	Fasting blood insulin adjusted for BMI	Other measurement
44	GCST007857	Fasting blood insulin adjusted for BMI	Fasting blood insulin adjusted for BMI	Other measurement
45	GCST007858	Fasting blood glucose adjusted for BMI	Fasting blood glucose adjusted for BMI	Other measurement
46	GCST007858	Fasting blood glucose adjusted for BMI	Fasting blood glucose adjusted for BMI	Other measurement
47	GCST008658	Ulcerative colitis	Ulcerative colitis	Immune system disorder
48	GCST008486	Atrial fibrillation	Atrial fibrillation	Cardiovascular disease
49	GCST007484	Waist-to-hip ratio adjusted for BMI (recessive genetic model)	Waist-to-hip ratio adjusted for BMI (recessive genetic model)	Body measurement
50	GCST007487	Waist-to-hip ratio adjusted for BMI (additive genetic model)	Waist-to-hip ratio adjusted for BMI (additive genetic model)	Body measurement
51	GCST007483	Waist-to-hip ratio adjusted for BMI (additive genetic model)	Waist-to-hip ratio adjusted for BMI (additive genetic model)	Body measurement
52	GCST007491	Waist-to-hip ratio adjusted for BMI (recessive genetic model)	Waist-to-hip ratio adjusted for BMI (recessive genetic model)	Body measurement
53	GCST007492	Waist-to-hip ratio adjusted for BMI (additive genetic model)	Waist-to-hip ratio adjusted for BMI (additive genetic model)	Body measurement
54	GCST007493	Waist-to-hip ratio adjusted for BMI (recessive genetic model)	Waist-to-hip ratio adjusted for BMI (recessive genetic model)	Body measurement
55	GCST007494	Waist-to-hip ratio adjusted for BMI (additive genetic model)	Waist-to-hip ratio adjusted for BMI (additive genetic model)	Body measurement
56	GCST007496	Waist-to-hip ratio adjusted for BMI (recessive genetic model)	Waist-to-hip ratio adjusted for BMI (recessive genetic model)	Body measurement
57	GCST007500	Waist-to-hip ratio adjusted for BMI (additive genetic model)	Waist-to-hip ratio adjusted for BMI (additive genetic model)	Body measurement
58	GCST007501	Waist-to-hip ratio adjusted for BMI (recessive genetic model)	Waist-to-hip ratio adjusted for BMI (recessive genetic model)	Body measurement
59	GCST007502	Waist-to-hip ratio adjusted for BMI (additive genetic model)	Waist-to-hip ratio adjusted for BMI (additive genetic model)	Body measurement
60	GCST007503	Waist-to-hip ratio adjusted for BMI (recessive genetic model)	Waist-to-hip ratio adjusted for BMI (recessive genetic model)	Body measurement
61	GCST008295	Number of decayed, missing and filled tooth surfaces or use of dentures	Number of decayed, missing and filled tooth surfaces or use of dentures	Digestive system disorder
62	GCST008295	Number of decayed, missing and filled tooth surfaces or use of dentures	Number of decayed, missing and filled tooth surfaces or use of dentures	Other trait
63	GCST008302	Number of decayed, missing and filled tooth surfaces	Number of decayed, missing and filled tooth surfaces	Digestive system disorder
64	GCST008299	Number of decayed and filled tooth surfaces per available tooth surface	Number of decayed and filled tooth surfaces per available tooth surface	Digestive system disorder
65	GCST008300	Periodontitis	Periodontitis	Digestive system disorder
66	GCST008301	Bleeding gums	Bleeding gums	Other trait
67	GCST008303	Painful gums	Painful gums	Other measurement
68	GCST008306	Dentures	Dentures	Other trait
69	GCST008305	Toothache	Toothache	Other trait
70	GCST008304	Mouth ulcers	Mouth ulcers	Other trait
71	GCST008298	Number of natural teeth	Number of natural teeth	Other measurement
72	GCST008297	Loose teeth	Loose teeth	Other measurement
73	GCST008296	Periodontitis or loose teeth	Periodontitis or loose teeth	Other measurement
74	GCST008296	Periodontitis or loose teeth	Periodontitis or loose teeth	Digestive system disorder
75	GCST007814	Sodium levels in epilepsy	Sodium levels in epilepsy	Other measurement
76	GCST007814	Sodium levels in epilepsy	Sodium levels in epilepsy	Neurological disorder
77	GCST007809	Carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Response to drug
78	GCST007809	Carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Other trait
79	GCST007809	Carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Other trait
80	GCST007809	Carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Response to drug
81	GCST007809	Carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Neurological disorder
82	GCST007810	Severe carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Severe carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Response to drug
83	GCST007810	Severe carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Severe carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Other trait
84	GCST007810	Severe carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Severe carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Other trait
85	GCST007810	Severe carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Severe carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Response to drug
86	GCST007810	Severe carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Severe carbamazepine- or oxcarbazepine-induced hyponatremia in epilepsy	Neurological disorder
87	GCST007811	Carbamazepine-induced hyponatremia in epilepsy	Carbamazepine-induced hyponatremia in epilepsy	Other trait
88	GCST007811	Carbamazepine-induced hyponatremia in epilepsy	Carbamazepine-induced hyponatremia in epilepsy	Response to drug
89	GCST007811	Carbamazepine-induced hyponatremia in epilepsy	Carbamazepine-induced hyponatremia in epilepsy	Neurological disorder
90	GCST007812	Oxcarbazepine-induced hyponatremia in epilepsy	Oxcarbazepine-induced hyponatremia in epilepsy	Response to drug
91	GCST007812	Oxcarbazepine-induced hyponatremia in epilepsy	Oxcarbazepine-induced hyponatremia in epilepsy	Other trait
92	GCST007812	Oxcarbazepine-induced hyponatremia in epilepsy	Oxcarbazepine-induced hyponatremia in epilepsy	Neurological disorder
93	GCST007813	Carbamazepine metabolism (carbamazepine-10,11-diol to carbamazepine ratio) in epilepsy	Carbamazepine metabolism (carbamazepine-10,11-diol to carbamazepine ratio) in epilepsy	Other measurement
94	GCST007813	Carbamazepine metabolism (carbamazepine-10,11-diol to carbamazepine ratio) in epilepsy	Carbamazepine metabolism (carbamazepine-10,11-diol to carbamazepine ratio) in epilepsy	Neurological disorder
95	GCST008338	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
96	GCST008338	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
97	GCST008338	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
98	GCST008338	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
99	GCST008338	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
100	GCST008338	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Inflammatory measurement
101	GCST008338	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
102	GCST008338	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
103	GCST008338	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
104	GCST008338	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
105	GCST008338	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
106	GCST008338	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
107	GCST008338	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
108	GCST008338	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
109	GCST008338	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
