,Neurological disorder,Metabolic disorder,Other disease,Cardiovascular disease,Lipid or lipoprotein measurement,Digestive system disorder,Cardiovascular measurement,Biological process,Other measurement,Immune system disorder,Cancer,Other trait,Inflammatory measurement,Response to drug,Hematological measurement,Body measurement,Liver enzyme measurement,Year
European,13,12,5,1,16,3,2,1,38,14,16,9,3,3,3,11,2,2008
Other/Mixed,2,0,0,0,2,0,1,0,1,0,1,0,0,1,0,0,0,2008
Asian,3,2,0,1,2,0,0,0,2,0,2,0,0,0,0,2,1,2008
Hispanic or Latin American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
African American or Afro-Caribbean,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2008
African,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
European,19,7,11,10,2,4,10,5,39,10,23,4,4,6,28,3,1,2009
Other/Mixed,3,0,1,1,0,0,1,1,0,1,3,0,1,2,0,0,0,2009
Asian,5,1,1,3,1,4,1,0,10,4,5,1,0,0,4,2,0,2009
Hispanic or Latin American,0,1,2,0,1,0,1,1,3,0,0,2,1,0,0,1,1,2009
African American or Afro-Caribbean,2,0,3,2,0,0,2,1,0,0,0,0,0,1,0,0,0,2009
African,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,2009
European,26,5,19,8,9,5,3,6,56,15,21,8,2,4,3,11,0,2010
Other/Mixed,4,1,3,4,0,2,0,0,2,0,2,1,0,1,0,2,0,2010
Asian,3,3,6,9,4,1,1,0,7,6,12,5,1,5,2,1,0,2010
Hispanic or Latin American,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,2010
African American or Afro-Caribbean,0,1,2,0,0,0,0,1,3,1,0,0,0,0,0,1,0,2010
African,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2010
European,35,5,18,18,4,3,9,11,53,10,29,7,4,11,4,2,2,2011
Other/Mixed,2,0,2,1,1,0,1,1,6,1,5,1,0,1,0,1,0,2011
Asian,9,3,11,5,4,4,3,2,8,14,14,6,2,3,2,0,2,2011
Hispanic or Latin American,1,1,3,0,1,0,0,0,3,0,0,0,1,0,1,0,0,2011
African American or Afro-Caribbean,2,2,3,3,2,0,2,1,8,0,2,1,0,0,0,3,0,2011
African,0,0,1,0,1,0,1,0,2,0,2,0,1,1,0,0,0,2011
European,20,8,17,11,3,11,2,3,50,10,27,10,2,11,6,9,0,2012
Other/Mixed,3,0,1,2,0,0,0,2,4,2,2,0,0,1,0,1,0,2012
Asian,7,10,10,6,0,4,2,4,23,8,27,2,0,4,0,3,0,2012
Hispanic or Latin American,1,0,3,0,0,0,0,0,5,0,1,0,1,0,0,0,0,2012
African American or Afro-Caribbean,5,1,1,1,0,1,0,0,6,0,3,1,1,2,0,0,0,2012
African,0,0,1,0,0,1,0,0,2,1,0,1,1,0,0,0,0,2012
European,32,7,17,9,7,4,6,12,52,9,37,19,0,8,2,10,2,2013
Other/Mixed,1,4,2,2,0,4,0,4,1,0,7,2,0,2,0,0,0,2013
Asian,10,10,8,7,3,5,3,8,32,10,16,4,0,6,2,2,1,2013
Hispanic or Latin American,0,3,5,1,2,0,0,2,4,0,4,1,0,3,1,1,0,2013
African American or Afro-Caribbean,4,1,1,1,3,1,1,1,7,0,6,1,0,2,3,3,0,2013
African,0,0,0,0,1,0,2,0,4,0,0,0,0,1,0,1,0,2013
European,23,9,12,11,3,8,9,9,65,9,26,13,0,7,0,4,0,2014
Other/Mixed,1,0,1,3,0,0,0,1,6,0,3,0,0,0,0,2,0,2014
Asian,6,2,9,4,1,2,15,1,42,4,10,1,2,3,2,5,0,2014
Hispanic or Latin American,0,0,0,1,4,0,1,0,3,0,2,0,0,0,0,0,0,2014
African American or Afro-Caribbean,4,1,0,1,1,0,0,3,10,1,1,0,0,2,1,0,0,2014
African,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014
European,12,4,26,22,5,3,1,9,99,24,36,14,0,28,1,14,1,2015
Other/Mixed,4,1,3,8,0,2,0,1,13,3,2,7,0,4,0,0,0,2015
Asian,17,3,11,13,4,9,3,2,42,12,13,18,0,12,0,15,1,2015
Hispanic or Latin American,2,0,5,5,0,0,0,1,8,0,2,7,0,5,0,0,0,2015
African American or Afro-Caribbean,3,1,7,5,0,0,0,3,20,2,3,1,0,8,0,9,0,2015
African,2,0,2,0,0,1,0,1,8,1,1,0,0,3,0,6,0,2015
European,21,10,13,22,8,4,12,5,87,9,23,22,0,6,4,7,1,2016
Other/Mixed,2,2,1,6,3,0,0,0,6,0,3,4,0,1,6,1,0,2016
Asian,17,7,3,4,8,6,11,1,41,5,11,2,0,5,0,8,0,2016
Hispanic or Latin American,3,3,0,4,8,1,1,0,10,0,2,1,0,7,1,1,0,2016
African American or Afro-Caribbean,6,2,1,6,8,1,5,1,17,0,7,0,0,8,0,2,0,2016
African,0,0,3,0,0,1,1,0,4,0,0,0,0,1,0,0,0,2016
European,18,4,14,6,4,2,37,20,153,5,16,11,1,14,3,49,4,2017
Other/Mixed,0,1,0,0,1,0,8,1,8,3,0,1,1,7,1,0,1,2017
Asian,11,4,12,12,15,4,5,4,45,2,14,6,0,8,0,4,0,2017
Hispanic or Latin American,1,1,4,3,0,0,6,1,27,0,2,2,2,3,12,1,0,2017
African American or Afro-Caribbean,2,3,0,2,0,0,8,15,33,0,4,7,0,2,0,33,0,2017
African,0,1,9,2,0,4,2,2,6,1,0,3,0,8,0,2,0,2017
European,21,24,33,15,6,11,11,9,93,7,20,12,1,10,4,6,1,2018
Other/Mixed,1,1,1,1,4,0,0,0,23,0,0,0,0,0,0,0,0,2018
Asian,14,63,28,4,2,4,5,9,120,11,9,10,0,7,3,4,0,2018
Hispanic or Latin American,2,5,2,1,0,1,2,6,25,0,3,1,0,4,0,0,0,2018
African American or Afro-Caribbean,5,1,2,3,0,0,3,9,26,0,2,3,0,7,0,0,0,2018
African,4,0,2,0,4,0,0,0,8,0,1,2,0,0,0,1,0,2018
European,17,5,7,9,41,4,11,27,115,2,6,11,1,18,1,23,0,2019
Other/Mixed,0,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,2019
Asian,2,5,2,1,89,3,0,41,59,4,9,4,0,3,0,7,2,2019
Hispanic or Latin American,0,0,0,0,36,1,5,15,22,0,1,0,0,0,0,0,0,2019
African American or Afro-Caribbean,3,3,2,3,24,0,7,17,22,0,1,3,0,4,0,0,0,2019
African,0,1,0,0,18,0,0,6,16,0,1,0,0,0,0,0,0,2019
